"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","AANTAL_INGESCHREVENEN"
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35521","B Leisure & Events Management",660
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35523","B Ondernemerschap & Retail Management",475
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35524","B Tourism Management",666
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39205","B HBO - Rechten",382
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","39268","B Integrale Veiligheidskunde",619
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","34116","B Social Work",1244
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","35158","B Pedagogiek",606
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34560","B Opleiding tot Verpleegkundige",1052
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","34644","B Vaktherapie",254
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",805
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","34745","B Docent Theater",97
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","39100","B Docent Beeldende Kunst en Vormgeving",72
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35144","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Fries",16
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35193","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits",116
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","35195","B Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels",490
