"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","GESLACHT","AANTAL_GEDIPLOMEERDEN"
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VROUW",152
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","MAN",12
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VROUW",131
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","MAN",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","VROUW",14
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo associate degree","VROUW",7
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",25
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",71
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","MAN",5
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","VROUW",5
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","opleidingen tot leraar vo van de 1ste graad in alg. vakken","hbo master","MAN",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","ONDERWIJS","opleidingen tot leraar vo van de 1ste graad in alg. vakken","hbo master","VROUW",-1
"2019","Gelderland","0228","Ede","reguliere inst.","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","hbo associate degree","MAN",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",462
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",528
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","hbo master","MAN",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","hbo master","VROUW",32
