"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","OPLEIDINGSVORM","AANTAL_GEDIPLOMEERDEN"
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","hbo bachelor","DT",60
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",154
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","hbo associate degree","DT",11
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","DT",220
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","VT",354
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","opleidingen tot leraar vo van de 1ste graad in alg. vakken","hbo master","DU",29
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DT",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",205
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","DT",8
"2019","Gelderland","0268","Nijmegen","reguliere inst.","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","hbo master","VT",-1
"2019","Gelderland","0268","Nijmegen","reguliere inst.","30GB","Fontys Hogeschool","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","DT",19
"2019","Gelderland","0268","Nijmegen","reguliere inst.","30GB","Fontys Hogeschool","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","VT",-1
"2019","Gelderland","0275","Rheden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","DT",17
"2019","Gelderland","0275","Rheden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VT",17
"2019","Gelderland","0275","Rheden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","DT",26
"2019","Gelderland","0275","Rheden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VT",250
